shona,luo
"Asi Jehovha aiva naJosefa. Izvi zvakaita kuti abudirire uye akagadzwa kuti atungamirire mabasa aiitwa mumba matenzi wake, muIjipiti.","To Jehova Nyasaye ne ni kod Josef, omiyo, ne oguedho yorene duto, mi nokete e wi gik ma ne nie od ruodhe ma Ja-Misrino."
Tenzi wake akaona kuti Jehovha akanga ainaye uye kuti Jehovha akanga achiita kuti zvese zvaaiita zvibudirire.,"Ruodheno ne oneno kaka Jehova Nyasaye ne ni kode, kendo kaka Jehova ne guedho gik moko duto ma notimo."
"Josefa akaramba achinzwirwa nyasha natenzi wake, uye akava mushandi wake wepedyo. Saka akamugadza kuti atungamirire zvese zvaiitwa mumba make, uye akaisa zvinhu zvake zvese mumaoko ake.","Potifar ne mor gi Josef, omiyo nokete obedo jal ma ochung’ ne ode duto kaachiel gi mwandune duto."
"Kubvira paakamugadza kuti atungamirire zvese zvaiitwa mumba make uye zvinhu zvake zvese, Jehovha akaramba achikomborera imba yemuIjipiti wacho nekuda kwaJosefa, uye chikomborero chaJehovha chakava pazvese zvaaiva nazvo mumba nemumunda.","Chakre chieng’no Jehova ne oguedho gik moko duto ma ne nie od Ja-Misrino, kendo Jehova ne oguedho puothe Ja-Misrino duto mana nikech Josef."
"Akazopedzisira aisa zvinhu zvake zvese mumaoko aJosefa, uye akanga asisazvinetsi nezvimwe zvinhu kunze kwezvekudya zvaaidya. Uyezve, Josefa akava nechimiro chakanaka nechiso chakanaka.","Bang’e, Potifar ne oketo gigene duto e lwet Josef. En owuon ne ok odew gik ma ne nie ode mak mana chiemo ma nochamo. E wi mano, Josef ne en wuoyi mochuere maber kendo ma jachia."
Zvakazoitika ndezvekuti mudzimai watenzi wake akatanga kuchiva Josefa achimuti: “Rara neni.”,"Bang’ wechegi, chi Potifar ne ochako gombo Josef, mi ne owachone niya: “Bi inind koda.”"
"Asi akaramba uye akati kumudzimai watenzi wake: “Tenzi wangu haazivi zvandiinazvo mumba, uye zvinhu zvake zvese akazviisa mumaoko mangu.","To Josef ne odagi wachno, kendo nowachone niya: “Ruodha ok ong’eyo gimoro amora manie ode, kendo oseketo gigene duto e lweta."
"Hapana mukuru kwandiri mumba muno, uye hapana kana chaakandirambidza kunze kwenyu, nekuti muri mudzimai wake. Saka ndingaitirei chivi chakakura kudaro ndichitadzira Mwari?”","Onge ng’at machielo maduong’ e ode moloya, bende pok otama gimoro amora e ode mak mana in, nikech in chiege. Ere kaka datim richo maduong’ kamano kendo ketho e nyim Nyasaye?”"
"Saka zuva rega rega mukadzi wacho aitaura naye, asi Josefa airamba zvachose kurara naye kana kusara ainaye.","Odiechieng’ kodiechieng’ dhakono ne otemo lombo Josef gi weche mamit, to Josef ne odagi nindo kode. Bende, ne ok odwar kata bedo bute."
"Asi mumwe musi Josefa paakapinda mumba kuti aite basa rake, vashandi vese vemumba macho vakanga vasimo.","Chieng’ moro, Josef ne odonjo e ot mondo oti tijene kaka pile, kendo ne oyudo jotich mamoko duto onge e ot."
"Mukadzi wacho akabva amubata nguo yake achiti: “Rara neni!” Asi iye akasiya nguo yake muruoko rwake, akatizira panze.","Dhakono ne omako lawe ka wachone niya: “Bi inind koda!” To Josef ne oweyo lawe e lwete, moringo owuok oko."
"Paakangoona kuti akanga asiya nguo yake muruoko rwake ndokutizira panze,","To ka dhakono ne oneno ni Josef oseweyo lawe e lwete, moringo owuok oko,"
"akatanga kushevedzera kuvarume veimba yake akati kwavari: “Onai! Akatiunzira muHebheru uyu kuti atiite chiseko. Auya kwandiri achida kurara neni, ndikabva ndaridza mhere.","ne oluongo jotichne mowachonegi niya: “Neuru! Chwora osekelo Ja-Hibraniani e odni mondo omiwa wich-kuot. Nodonjo e ot kodwaro nindo koda, mi agoyo nduru matek,"
"Paangonzwa ndava kuridza mhere, abva asiya nguo yake pandanga ndiri akatizira panze.”","to ka noneno ka agoyo nduru matek kamano, noringo oko moweyo lawe e lweta.”"
Pashure paizvozvo akaisa nguo yacho pedyo naye kusvikira tenzi waJosefa adzoka kumba.,"Eka dhakono noketo lawno bute, nyaka sa ma Potifar ruodh Josef ne oduogo."
"Akabva amuudza zvaakanga ambotaura, achiti: “Muranda wechiHebheru wawakatiunzira auya kwandiri kuti andiite chiseko.","Dhakono ne onwoyo mana wechego ne chwore ka onyise niya: “Jatich ma Ja-Hibrania ma ne ikelo e odni, nobiro ira mondo omiya wich-kuot."
"Asi pandangoridza mhere, abva asiya nguo yake pandanga ndiri akatizira panze.”","To ka ne owinjo ka agoyo nduru matek, ne oringo oko moweyo lawe.”"
"Tenzi wake paakangonzwa mudzimai wake achitaura kuti: “Izvi ndizvo zvandaitirwa nemuranda wako,” akaviruka nehasha.","To ka ruodh Josef nowinjo gima chiege nowachone, iye ne owang’ ahinya."
"Saka tenzi waJosefa akamutora akamuisa mujeri, maichengeterwa vasungwa vamambo, uye akaramba ari imomo.","Ne omako Josef, mi okete e jela ma ne itueyoe mabuse mag ruoth. Omiyo, Josef bende ne otue e jela kanyo."
Asi Jehovha akaramba aina Josefa uye akaramba achimuratidza rudo rusingachinji achiita kuti anzwirwe nyasha nemukuru mukuru wejeri.,"To Jehova ne ni kod Josef, kendo nodhi nyime nyise herane mosiko, mi ne oyudo ng’wono e wang’ jatend jela."
"Saka mukuru mukuru wejeri akaisa vasungwa vese vaiva mujeri mumaoko aJosefa, uye ndiye aiona kuti zvese zvaifanira kuitwa imomo zvaitwa.","Jatelono ne okete e wi mabuse duto ma notue e jelano, kendo Josef e ma ne rito gik moko duto ma ne mabusego timo."
"Mukuru mukuru wejeri akanga asisina kana chaaiita pazvinhu zvese zvaiva mumaoko aJosefa, nekuti Jehovha akanga ainaye uye Jehovha aiita kuti zvese zvaaiita zvibudirire.","Jatelono ne ok non gik ma noseketo e lwet Josef, nikech Jehova Nyasaye ne ni kod Josef, kendo Jehova ne guedho gik moko duto ma Josef ne timo."
"Izvi zvaitika, mukuru wevadiri wamambo weIjipiti nemukuru wevabiki vakatadzira ishe wavo, mambo weIjipiti.","Bang’ wechegi, jatend jolos divai kod jatend joted makate ne oketho ne ruodhgi ma bende ne en ruodh Misri."
"Saka Farao akatsamwira vashandi vake vaviri, mukuru wevadiri nemukuru wevabiki,","Omiyo, i Farao ne owang’ gi jotichne ariyogo,"
"uye akavaisa mujeri reimba yemukuru wevarindi, maiva naJosefa ari musungwa.",mi ne otueyogi e jela ma ne nie od jatend jorit ka ma noyudo otueye Josef.
"Mukuru wevarindi akabva aita kuti Josefa ave navo uye kuti avashandire, uye vakaramba vari mujeri kwemazuva.",Eka jatend jorit ne oketo Josef mondo orit ji ariyogo. Kendo ne otuegi kanyo kuom ndalo mogwaro.
"Mudiri nemubiki vamambo weIjipiti, avo vakanga vakavharirwa mujeri, vakarota hope usiku humwe chete, uye hope dzemumwe nemumwe dzaiva nekududzirwa kwadzo.","Chieng’ moro, bang’ ka jatend jolos divai kod jatend joted makate nosebedo e jela kuom kinde, ne gileko. Ng’ato ka ng’ato kuomgi noleko lekne owuon, kendo lek ka lek ne nigi tiende."
"Mangwana acho mangwanani, Josefa paakapinda akaona kuti vakanga vakasuruvara.","Kinyne gokinyi ka ne Josef odhi irgi, ne oyudogi ka gikuyo."
Saka akabvunza vashandi vaFarao vaaiva navo mujeri reimba yatenzi wake kuti: “Ko makasuruvareiko nhasi?”,"Omiyo, ne openjo jotich Farao ariyo ma ne nie tuech kodego niya: “Ang’o momiyo kawuono ukuyo kama?”"
"Vakabva vati kwaari: “Tarota hope, asi hatina mududziri.” Josefa akati kwavari: “Handiti kududzira ndekwaMwari here? Ndiudzei hope dzacho.”","Ne gidwoke niya: “Ne waleko, to onge ng’at ma diloknwa tiend lekgo.” Josef nopenjogi niya: “Donge Nyasaye e ma nigi teko mar loko tiend lek? Nyisauru lekgo.”"
Saka mukuru wevadiri akarondedzera hope dzake kuna Josefa achiti: “Ndarota pamberi pangu paine muzambiringa.,Jatend jolos divai ne onyiso Josef lekne niya: “Naleko ni yadh mzabibu moro nie nyima.
"Pamuzambiringa wacho panga paine tumapazi tutatu, uye pawanga uchitungira, wabuda maruva, masumbu emazambiringa acho achibva aibva.","Yadh mzabibuno ne nigi bede adek, kendo nochako loth, mi ogolo maua, kae to onyago mzabibu mochiek."
"Uye ndanga ndakabata kapu yaFarao, ndikatora mazambiringa acho ndikaasvinira mukapu yaFarao. Ndabva ndaisa kapu yacho muruoko rwaFarao.”","Ne oyudo ating’o okombe mar Farao e lweta. Ne akawo mzabibugo mi abiyo e okombeno, kae to amiyo Farao.”"
Josefa akabva ati kwaari: “Hope dzacho dzinodudzirwa seizvi: Tumapazi tutatu tunomirira mazuva matatu.,Josef ne owachone niya: “Mae e tiend leknino: Bede adek mag yath mzabibuno gin ndalo adek.
"Mazuva matatu kubva nhasi, Farao achakubudisa okudzorera pabasa rako, uye uchaisa kapu yaFarao muruoko rwake, sezvawaiita pawaiva mudiri wake.","Bang’ odiechienge adek, Farao biro gonyi kendo obiro duoki e tiji. Kendo ibiro miye okombene kaka ne itimoga e kinde ma ne ilosone divai."
Asi wozondiyeukawo kana zvakufambira zvakanaka. Undiitirewo mutsa nekuudza Farao nezvangu kuti andibudise muno.,"To kik wiyi wil koda ka weche odhini maber kamano. Tem iwuo kuoma maber ka in e nyim Farao, mondo ogonya awuogi e jelani."
"Chiripo ndechekuti ndakaita zvekubiwa kunyika yevaHebheru, uye kuno kwandiri handina mhosva yandakapara yekuti vandiise mujeri.”","Nikech kuom adier ne omaka gi thuon e piny Jo-Hibrania, kendo sani an e jela to onge gimoro amora marach ma asetimo.”"
"Mukuru wevabiki paakaona kuti zvakanga zvadudzirwa naJosefa zvaifadza, akabva ati kwaari: “Iniwo ndarota ndakatsiga tswanda nhatu dzechingwa chichena,","To ka jatend joted makate noneno ni Josef noseloko tiend lekno maber, ne owacho niya: “An bende naleko ni okapu adek moting’o makate ma rochere ne nie wiya."
"uye mutswanda yepamusoro manga muine zvingwa zvemhando dzakasiyana-siyana zvaFarao, uye panga paine shiri dzanga dzichidya zvanga zviri mutswanda yacho yanga iri pamusoro.”","To okapu ma malo chuth ne oting’o kit chiemo duto ma jated makate ne oloso ne Farao, kendo winy ne chamo chiemo ma ne nie okapuno.”"
"Josefa akabva apindura kuti, “Hope dzacho dzinodudzirwa seizvi: Tswanda nhatu dzinomirira mazuva matatu.",Eka Josef nodwoke niya: “Mae e tiend leknino: Okapu adekgo gin ndalo adek.
"Mazuva matatu kubva nhasi, Farao achakucheka musoro, okusungirira padanda, uye shiri dzichadya nyama yako.”","Bang’ odiechienge adek, Farao biro gonyi, kendo enong’ad wiyi oko kae to oliero ringreni e wi yath, mi winy nocham ringreni.”"
"Zvino zuva rechitatu raiva zuva rekuberekwa kwaFarao, uye akaitira vashandi vake vese mabiko ndokubudisa mukuru wevadiri nemukuru wevabiki vashandi vake vachiona.","Koro e odiechieng’ mar adek, Farao ne oloso ne jotichne nyasi mar parogo odiechieng nyuolne, mi nogonyo jatend jolos divai gi jatend joted makate e nyim jotichne."
"Uye akadzorera mukuru wevadiri pabasa rake rekuva mudiri, akaramba achiisa kapu muruoko rwaFarao.",Eka ne oduoko jalos divaino e tije machon mar keto okombe e lwet Farao.
"Asi akasungirira mukuru wevabiki, sezvavakanga vadudzirwa naJosefa.","To ne onego jatend joted makate, wechego duto ne otimore mana kaka Josef nowacho ka nolokonegi tiend lekgi."
Asi mukuru wevadiri haana kuyeuka Josefa; akabva atokanganwa nezvake.,"Kata kamano, jatend jolos divai ne ok oparo Josef, to wiye ne owil kode."
"Papfuura makore maviri azere, Farao akarota akamira pedyo neRwizi rwaNire.","Bang’ higni ariyo, Farao ne oleko ni ochung’ e bath Aora Nael."
"Uye akaona mhou nomwe dzakanaka uye dzakakora dzichibuda muna Nire, dzichifura uswa hwaiva pedyo naNire.",Kendo dhok abiriyo machwe kendo mabeyo ne owuok e aorano mochako kwayo e bath aorano.
"Paivawo nedzimwe mhou nomwe dzakashata uye dzakaonda dzakazobuda muna Nire dzichidzitevera, uye dzakamira pedyo nemhou dziya dzakakora dzaiva pedyo naNire.","Bang’ mano, dhok mamoko abiriyo modhero kendo maricho ne owuok e aorano, mi gichung’ but dhok mabeyoka."
Mhou dziya dzakashata uye dzakaonda dzakabva dzatanga kudya mhou nomwe dzakanaka uye dzakakora. Farao akabva apepuka.,Eka dhok modhero kendo marichogo ne omuonyo dhok mabeyoka. Gikanyono Farao ne ochiewo.
"Akabva ararazve akarota dzimwe hope. Akarota achiona hura nomwe dzezviyo dzichibuda padzinde rimwe, dzakasvika uye dzakanaka.","Nindo ne ochako otere, moleko kendo ni ne nitie wi ngano abiriyo mochiek maber e wi tiang’ achiel."
"Pakazobudawo dzimwe hura nomwe dzezviyo, dzakatetepa uye dzakapiswa nemhepo yekumabvazuva.","Bang’ mano, wi ngano abiriyo mamoko motho kendo ma yamb ugwe otwoyo ne ochako twi."
Uye hura dzezviyo dzakatetepa dzakatanga kumedza hura nomwe dzezviyo dzakasvika uye dzakanaka. Farao akabva apepuka akaona kuti airota.,Wi ngano mothogo ne ochako muonyo wi ngano ma nochiek mabeyoka. Eka Farao ne ochiewo mi ofwenyoni ne en mana lek.
"Asi pakwakayedza akatanga kunetseka. Saka akaita kuti vapristi vese veIjipiti vaiita zvemashiripiti nevarume vayo vese vakachenjera vadanwe. Farao akarondedzera hope dzake kwavari, asi hapana akagona kudzidudzira.","Kinyne gokinyi, chunye ne ochandore ahinya. Kuom mano ne oluongo ajuoke kod jorieko duto mag Misri, mi onyisogi lekgo, to onge ng’ato ma ne nyalo lokone tiendgi."
"Mukuru wevadiri akabva ataura naFarao, achiti: “Nhasi ndiri kureurura zvivi zvangu.",Eka jatend jolos divai ne owacho ne Farao niya: “Ahulo richona kawuononi.
"Farao akambotsamwira vashandi vake. Saka akatiisa kujeri reimba yemukuru wevarindi, tiri vaviri nemukuru wevabiki.","Chieng’ moro ka ne iyi owang’ gi jotichni, ne itueyowa, an kaachiel gi jatend jolos makate e jela manie od jatend jorit."
Pashure paizvozvo tese takarota hope usiku humwe chete. Hope dzemumwe nemumwe wedu dzaiva nekududzirwa kwadzo.,"E otieno moro, waduto ji ariyo ne waleko, kendo ng’ato ka ng’ato ne oleko lekne ma ne dwarore ni olok tiende."
"Kwaiva nemumwe murume wechidiki wechiHebheru wataiva naye imomo, muranda wemukuru wevarindi. Patakamuudza zvatakanga tarota, akadudzira hope dzemumwe nemumwe wedu.","To e jela kanyo ne nitie Ja-Hibrania moro ma rawera, kendo ma ne chon tiyo ne jatend jorit. Ka ne wanyise lekgo, ne olokonwa tiendgi."
"Zvaakadudzira ndizvo chaizvo zvakaitika. Ndakadzorerwa kubasa rangu, asi mumwe wangu akasungirirwa.”","Kendo gik moko notimore mana kaka ne olokonwa. An ne oduoka e tija, to jatend joted makate ne onegi.”"
"Saka Farao akaita kuti Josefa anotorwa, uye vakakurumidza kumubudisa mujeri. Akazviveura, akachinja zvipfeko zvake, ndokupinda maiva naFarao.","Omiyo, Farao ne ooro wach mondo okelne Josef, mi ne gikele mapiyo ka gigole e jela. Ne oliedo, mi oloko lepe kae to obiro e nyim Farao."
"Farao akabva ati kuna Josefa: “Ndarota hope, asi hapana ari kukwanisa kudzidudzira. Ndanzwa kuti ukaudzwa nemunhu hope dzake unogona kudzidudzira.”","Eka Farao nonyiso Josef niya: “Naleko lek moro, to pok ayudo ng’at ma lokona tiende. To osenyisa ni inyalo loko tiend lek moro amora."
Josefa akabva apindura Farao kuti: “Handisi ini ndinozviita asi Mwari ndiye achaudza Farao mashoko anofadza.”,Josef ne odwoke niya: “An ok anyal loke ngang’! To Nyasaye e ma biro nyiso Farao wach maber.”
Farao akabva audza Josefa kuti: “Ndarota ndimire pamahombekombe eRwizi rwaNire.,Farao ne onyiso Josef niya: “Ne aleko ni achung’ e bath Aora Nael.
"Ndaona mhou nomwe dzakakora uye dzakanaka dzichibuda muna Nire, dzikatanga kufura uswa pedyo naNire.",Kendo dhok abiriyo machwe kendo mabeyo nowuok e aorano mochako kwayo e bath aora.
"Panga paine dzimwe mhou nomwe dzanga dzichibuda dzichidzitevera, dzanga dzisina kana utano, dzisingatarisiki uye dzakaonda. Handisati ndamboona mhou dzakaipa zvakadaro munyika yese yeIjipiti.",Eka dhok abiriyo maricho kendo modhero bende ne owuok e aorano. Pok anenoga dhok maricho kaka mago e piny Misri duto.
Mhou dziya dzakaondoroka uye dzakaipa dzatanga kudya mhou nomwe dzakakora dzekutanga.,Dhok maricho abiriyogo ne omuonyo dhok abiriyo mabeyoka.
"Asi padzapedza kudzidya, hapana aigona kuziva kuti ndizvo zvadzanga dzaita, nekuti dzaramba dzakangoonda sezvadzanga dzakaita pakutanga. Ndabva ndapepuka.","To bang’ muonyogi kamano, ng’ato ne ok nyal ng’eyo ni gisechamogi, nimar pod ne gidhero adhera mana kaka ne gichalo mokwongo. Eka ne achiewo."
"“Pashure paizvozvo ndazorota ndichiona hura nomwe dzezviyo dzanga dzichibuda padzinde rimwe, dzakasvika uye dzakanaka.","“Bang’ mano, ne aleko kendo ni ne nitie wi ngano abiriyo mochiek maber e wi tiang’ achiel."
"Pazobudawo hura nomwe dzezviyo dzakaputana, nhete, dzakapiswa nemhepo yekumabvazuva.",To wi ngano abiriyo moko motho kendo ma yamb ugwe otwoyo ne ochako twi.
"Hura dzezviyo dzakatetepa dzabva dzatanga kumedza hura nomwe dzezviyo dzakanaka. Saka ndaudza vapristi vanoita zvemashiripiti, asi hapana akwanisa kunditsanangurira.”","Eka wi ngano mothogo ne omuonyo wi ngano abiriyo mabeyoka. Asenyiso ajuoke duto lekgo, to onge ng’ato moselokona tiendgi.”"
Josefa akabva ati kuna Farao: “Hope dzaFarao dzakangofanana. Mwari wechokwadi audza Farao zvaachaita.,Josef ne owacho ne Farao niya: “Lek ma Farao olekogo tiendgi en achiel. Nyasaye osenyiso Farao gima obiro timo.
Mhou nomwe dzakanaka dzinomirira makore manomwe. Uyewo hura dzezviyo nomwe dzakanaka dzinomirira makore manomwe. Hope dzacho dzakangofanana.,"Dhok abiriyo mabeyogo gin higni abiriyo, kendo wiye ngano abiriyo mabeyogo gin higni abiriyo. Giduto ginyiso tiend wach achiel."
"Mhou nomwe dzakaondoroka uye dzakaipa dzazodzitevera dzinomirira makore manomwe, uye hura dzezviyo nomwe dzakaputana, dzakapiswa nemhepo yekumabvazuva, dzichava makore manomwe enzara.","Dhok abiriyo modhero ma ne owuok bang’gi, kaachiel gi wiye ngano abiriyo motho ma yamb ugwe nosetwoyo nyiso higni abiriyo mag kech."
"Sekutaura kwandamboita kuna Farao, Mwari wechokwadi aita kuti Farao aone zvaachaita.",Mano e gima asenyiso Farao: Nyasaye madier osenyiso Farao gima obiro timo.
“Kuchava nemakore manomwe anenge aine zvekudya zvakawandisa munyika yese yeIjipiti.,“Higni abiriyo biro ma piny Misri nobed gi cham mang’eny ahinya.
"Asi achazoteverwa nemakore manomwe enzara, uye zvekudya zvizhinji zvese zvemunyika yeIjipiti zvichakanganwika, uye nyika ichasakadzwa nenzara.","To bang’ hignigo, higni abiriyo moko nobedie mag kech, mi wi ji nowil gi higni abiriyo mokwongo ma ne cham ng’enyie, kendo kech biro ketho piny."
"Zvekudya zvizhinji zvinenge zvambova munyika yacho hazvizoyeukwi nemhaka yenzara inozotevera, nekuti ichange yakakura.","Ji ok bi paro higni abiriyo ma cham ne ng’enyie, nimar kech ma biro luwo hignigo nobed kech mager miwuoro."
"Hope dzadzokororwa kaviri kuna Farao nekuti nyaya yacho yasimbiswa kwazvo naMwari wechokwadi, uye Mwari wechokwadi achakurumidza kuzviita.","Lek ma Farao oseleko diriyono nyiso ni Nyasaye madier oseng’ado ni wachno nyaka timre, kendo obiro time mapiyo."
"“Saka Farao ngaatsvage murume akangwara uye akachenjera, oisa nyika yeIjipiti mumaoko ake.","“Kuom mano, Farao onego oyier ng’at mariek mondo okete e wi piny Misri."
"Farao ngaaone zvekuita, agadze vatariri munyika, uye anofanira kuunganidza chikamu chimwe chete pazvikamu zvishanu zvezvinhu zvichakohwewa muIjipiti mumakore manomwe emaguta.","Bende, nyaka Farao ket jotelo moko e wi piny mondo gikan achiel kuom abich mag cham e higni abiriyo ma cham ng’enyiego."
"Uye ngavaunganidze zvekudya zvese zvemakore aya akanaka ari kuuya, uye ngavaunganidze zviyo mumatura aFarao ari mumaguta, zvochengetwa imomo.","Gibiro tiyo gi chik moa kuom Farao sa ma gichoko cham e hignigo, kendo ginikan-gi e deche manie taonde madongo, kae to ginirit dechego."
"Zvekudya zvacho zvichange zvichidyiwa nevanhu mumakore manomwe enzara achavapo munyika yeIjipiti, kuitira kuti nyika irege kuparadzwa nenzara.”","Cham ma gibiro kanogo nokony piny e kinde mag higni abiriyo ma kech nobedie e piny Misri. Kuom mano, kech ok noketh piny Misri.”"
Zano racho rakanga rakanaka kuna Farao nekuvashandi vake vese.,Wachno ne ber ne Farao kod jotichne.
Saka Farao akati kuvashandi vake: “Pangawanikwa mumwe murume akafanana neuyu ane mweya waMwari maari here?”,"Omiyo, Farao nopenjo jotichne niya: “Ere ka ma wanyalo yudoe ng’at machielo ma nigi roho mar Nyasaye kaka jali?”"
"Farao akabva ati kuna Josefa: “Sezvo Mwari aita kuti uzive zvese izvi, hapana mumwe munhu akangwara uye akachenjera sewe.","Eka Farao nowachone Josef niya: “Nikech in e ma Nyasaye osenyisi wechegi duto, onge ng’at moro mariek maloyi."
"Imba yangu ichava mumaoko ako, uye vanhu vangu vese vachateerera zvese zvaunotaura. Ndichangova mukuru kwauri pakuti ndini mambo.”",Abiro keti jatelo e wi oda kendo joga duto biro winjo chikeni. An kenda e ma naloyi gi duong’ nikech an e ruoth.”
"Farao akatizve kuna Josefa: “Ona, ndiri kukugadza kuti utungamirire nyika yese yeIjipiti.”","Farao nomedo wacho ne Josef niya: “Ne, koro aseketi mondo ibed jatelo e wi piny Misri duto.”"
"Farao akabva abvisa rin’i yake ine chidhindo muruoko rwake, akaipfekedza Josefa muruoko, akamupfekedzawo nguo yakanaka kwazvo, akaisa chishongo chegoridhe muhuro make.","Farao nogolo tere e lwete, morwako e lwet Josef. Ne orwakone bende law kitani mayom kod thiwni mar dhahabu e ng’ute."
"Uyezve, akaita kuti akwire mungoro yechipiri yekukudzwa yaaiva nayo, uye vanhu vaishevedzera vari pamberi pake vachiti, <em>“A·vrékh!”</em> Saka akamugadza kuti atungamirire nyika yese yeIjipiti.","E wi mano, nokete mondo oidh gari mar ariyo mar ruoth, kendo ji ne ringo nyime ka kok ni, <em>“Avrekh!”</em> Kamano, Farao ne oketo Josef mondo obed jatelo e wi piny Misri duto."
"Farao akabva atizve kuna Josefa: “Ndini Farao, asi kana pasina mvumo yako, hapana munhu anogona kuita chero chii zvacho munyika yese yeIjipiti.”","Farao ne omedo wacho ne Josef niya: “An e Farao, kendo onge ng’ato ang’ata ma biro timo gimoro amora e piny Misri ka ok iyiene.”"
Pashure paizvozvo Farao akatumidza Josefa kuti Zafenati-paneya uye akamupa Asenati mwanasikana waPotifera mupristi weOni kuti ave mudzimai wake. Josefa akatanga kushanda semutariri wenyika yeIjipiti.,"Farao ne ochako Josef ni Zafenath-panea, kendo ne omiye Asenath nyar Potifera jadolo mar On mondo obed chiege. Mi Josef ne ochako bedo gi teko e wi piny Misri duto."
Josefa akanga ava nemakore 30 paakamira pamberi paFarao mambo weIjipiti. Josefa akabva pamberi paFarao akafamba nenyika yese yeIjipiti.,Josef ne jahigni 30 ka nochako tiyo ne Farao ruodh Misri. Ne oa e nyim Farao mowuotho e piny Misri duto.
"Uye mumakore manomwe ezvekudya zvizhinji, nyika yacho yakaramba ichibereka zvakawanda kwazvo.","E kinde mag higni abiriyo ma ne cham ng’enyie, piny ne ochiek maber ahinya."
Akaramba achiunganidza zvekudya zvese zvemunyika yeIjipiti zvemakore manomwe uye aichengeta zvekudya zvacho mumaguta. Muguta rimwe nerimwe aichengeta zvekudya zvaibva muminda yakanga yakaripoteredza.,"Josef ne ochoko cham duto kuom higni abiriyo ma ne piny Misri ochiekieno, kendo ne okanogi e taonde madongo. E taon ka taon ne okano cham mogol e puothe man machiegni kode."
"Josefa akaramba achiunganidza zviyo zvakawanda kwazvo, sejecha regungwa, kusvikira vazorega kuzviyera, nekuti zvakanga zvakawandisa.","Josef ne okano cham mang’eny mana ka kuoyo manie dho nam, mochopo kama ne ok nyal pim chamgo."
"Gore renzara risati rasvika, Josefa akaberekerwa vanakomana vaviri naAsenati mwanasikana waPotifera mupristi weOni.",Josef ne onyuolo yawuoyi ariyo gi Asenath nyar Potifera jadolo mar On ka ne higni mag kech pok ochopo.
"Josefa akatumidza dangwe racho kuti Manase, nekuti akati, “Mwari aita kuti ndikanganwe nhamo dzangu dzese uye imba yababa vangu.”","Josef ne ochako wuode makayo ni Manase, nimar ne owacho ni, “Nyasaye osemiyo wiya owil gi chandruokna duto kod jood wuonwa duto.”"
"Akatumidza wechipiri kuti Efremu, nekuti akati, “Mwari aita kuti ndibereke munyika yekutambudzika kwangu.”","Ne ochako wuode machielo ni Efraim, nimar ne owachoni, “Nyasaye osemiya nyithindo e piny ma ne achandorae.”"
"Makore manomwe ezvekudya zvizhinji muIjipiti akazopera,","Eka higni abiriyo ma ne cham ng’enyie e piny Misri ne orumo,"
"uye makore manomwe enzara akatanga, sezvakanga zvataurwa naJosefa. Nzara yacho yakavapo munyika dzese, asi munyika yese yeIjipiti maiva nezvekudya.","kendo higni abiriyo mag kech ne ochakore mana kaka Josef ne osewacho. Piny Misri kende e ma ne chiemo yudoree, nimar kejno nomako pinje duto."
Nyika yese yeIjipiti yakazopedzisira yavawo nenzara uye vanhu vakatanga kuchemera zvekudya kuna Farao. Farao akabva ati kuvaIjipiti vese: “Endai kuna Josefa moita zvese zvaanokuudzai.”,"Gikone, kejno ne omako piny Misri duto, kendo ji nochako ywak ne Farao mondo omigi chiemo. Farao ne owachonegi niya: “Dhiuru ir Josef, kendo utim kaka owachonu.”"
"Nzara yakaramba iripo pasi rese. Josefa akabva atanga kuzarura matura ese akanga ari pakati pavo, achitengesera vaIjipiti, sezvo nzara yakanga yanyanya munyika yese yeIjipiti.","Kejno ne olandore e piny duto. Eka Josef ne oyawo deche duto ma ne nie piny Misri, mi ouso cham ne Jo-Misri, nimar kejno ne ger ahinya e pinyno."
"Uyezve, pasi rese vanhu vaiuya kuIjipiti kuzotenga kuna Josefa, nekuti nzara yakanga yanyanya pasi rese.",Kendo ji moa e pinje mamoko duto ne obiro ir Josef e piny Misri mondo ging’iew cham. Nimar kejno ne ger ahinya e piny mangima.
"Jakobho paakanzwa kuti kuIjipiti kwaiva nezviyo, akati kuvanakomana vake: “Muri kurambireiko makangotarisana?”","Ka ne Jakobo owinjo ni cham yudore e piny Misri, ne owacho ne yawuote niya: “Ang’o momiyo ubet abeta kung’iyoru?”"
"Akawedzera kuti: “Ndakanzwa kuti kuIjipiti kune zviyo. Endai ikoko munotitengera, kuti tirarame, tirege kufa nenzara.”","Nomedo wachonegi kama: “Asewinjo ni cham yudore e piny Misri, kuom mano, dhiuru kuno ung’iew cham mondo kik kech negwa.”"
Saka vakoma vaJosefa gumi vakaenda kunotenga zviyo kuIjipiti.,"Omiyo, owete Josef apar ne odhi ng’iewo cham e piny Misri."
"Asi Jakobho haana kutuma Bhenjamini, munin’ina waJosefa, pamwe chete nevakoma vake, nekuti akati: “Angangosangana nenjodzi akafa.”","Kata kamano, Jakobo ne ok oyie mondo Benjamin owadgi Josef odhi kod owetene, nimar nowacho niya: “Di po ka masira moro oyude kuno mi otho.”"
